Link,Score,Comment

Taxi in Boston

https://www.facebook.com/339458002818170_762992317131401,0.0,Please private message for details....thanks!
https://www.facebook.com/339458002818170_762992317131401,0.0,I sent you a message on messenger
https://www.facebook.com/339458002818170_762992317131401,0.0,this one
https://www.facebook.com/339458002818170_762992317131401,0.0,Omg if he was a girl
https://www.facebook.com/339458002818170_762992317131401,0.0,"Yes, Kristina Pugh.  We still have Jason."
https://www.facebook.com/339458002818170_762992317131401,0.0,Please private message for details....thanks!
https://www.facebook.com/339458002818170_762992317131401,0.0,I sent you a message on messenger
https://www.facebook.com/339458002818170_762992317131401,0.0,this one
https://www.facebook.com/339458002818170_762992317131401,0.0,Omg if he was a girl
https://www.facebook.com/339458002818170_762992317131401,0.0,"Yes, Kristina Pugh.  We still have Jason."
https://www.facebook.com/339458002818170_761611633936136,0.0,I HAVE ONE NAMED HOGAN THAT DOES. IMAGINE THAT.
https://www.facebook.com/339458002818170_761611633936136,0.0,Benji LOVES watching TV!!
https://www.facebook.com/339458002818170_761611633936136,0.0,Casper does!
https://www.facebook.com/339458002818170_761611633936136,0.0,Mavi does watch tv too
https://www.facebook.com/339458002818170_761611633936136,0.0,Cleo watches all the time
https://www.facebook.com/339458002818170_761611633936136,0.0,Yep
https://www.facebook.com/339458002818170_761611633936136,0.0,"Butch does, but Candy doesn't."
https://www.facebook.com/339458002818170_761611633936136,0.0,Yup!
https://www.facebook.com/339458002818170_761610593936240,0.0,Alie Alie Wilson
https://www.facebook.com/339458002818170_761610593936240,0.0,Alie Alie Wilson
https://www.facebook.com/339458002818170_761608363936463,0.0,What is your price?
https://www.facebook.com/339458002818170_761608363936463,0.0,Please private message for details
https://www.facebook.com/339458002818170_761608363936463,0.0,What is your price?
https://www.facebook.com/339458002818170_761608363936463,0.0,Please private message for details
https://www.facebook.com/339458002818170_761597993937500,0.0,Awwww! I wonder if I can convince my hubby we need another one...
https://www.facebook.com/339458002818170_761597993937500,0.0,Awe!!
https://www.facebook.com/339458002818170_761597993937500,0.0,She'll be sold in minute beautif
https://www.facebook.com/339458002818170_761597993937500,0.0,Do you still have this female?
https://www.facebook.com/339458002818170_761597993937500,0.0,Mitchell Hornback Koalten Hornback
https://www.facebook.com/339458002818170_761597993937500,0.0,I messaged u

Taxi in New York

Positive Comments
https://www.facebook.com/145591498816276_637816756260412,1.0,Looks great!
https://www.facebook.com/416889091727746_569722969777690,1.0,Awesome thank you I will check it out. 
https://www.facebook.com/416889091727746_604210529662267,1.0,Awesome bud!
